date,Unnamed: 0,USD,AUD,CHF,NOK,GBP,NZD,CAD,SEK,EUR
2016-03-12,57,1.115039,1.474126,1.096063,9.397253,0.778385,1.653072,1.474515,9.306178,1.29344524
2016-05-13,58,1.130725,1.555575,1.101973,9.259723,0.787476,1.670552,1.460896,9.305531,1.311641
2013-03-12,59,1.302302,1.262387,1.234714,7.446436,0.874346,1.580325,1.337221,8.297069,1.51067032
2013-03-19,60,1.286327,1.240554,1.218175,7.502303,0.852074,1.559748,1.319802,8.315611,1.49213932
2015-06-11,61,1.124261,1.450507,1.0489,8.807737,0.724691,1.60224,1.382388,9.25277,1.30414276
2015-06-10,62,1.132209,1.463002,1.05442,8.802862,0.729885,1.604766,1.391434,9.362496,1.31336244
2015-06-13,63,1.126538,1.457087,1.046644,8.736302,0.723941,1.612295,1.387182,9.225264,1.30678408
2015-06-12,64,1.126538,1.457087,1.047156,8.736854,0.723941,1.612295,1.386911,9.233172,1.30678408
2015-06-15,65,1.127782,1.452986,1.048305,8.744348,0.722961,1.610178,1.389067,9.216302,1.30822712
2015-06-14,66,1.122175,1.450945,1.042729,8.720057,0.721117,1.606389,1.38207,9.201614,1.301723
2015-06-17,67,1.133577,1.465202,1.047473,8.708654,0.716172,1.633297,1.388891,9.208729,1.31494932
2015-06-16,68,1.124563,1.450663,1.048357,8.731398,0.718707,1.609586,1.383167,9.199165,1.30449308
2015-06-19,69,1.135276,1.460787,1.042111,8.763656,0.714975,1.643022,1.391384,9.209226,1.31692016
2015-06-18,70,1.137116,1.457002,1.04908,8.83878,0.71607,1.639408,1.391545,9.248349,1.31905456
2014-04-29,71,1.380979,1.490404,1.219406,8.299108,0.82097,1.615081,1.51452,9.064338,1.60193564
2014-04-24,72,1.383111,1.492948,1.219981,8.291762,0.823212,1.61506,1.525178,9.090959,1.60440876
2014-04-22,73,1.380741,1.474603,1.221439,8.270138,0.820676,1.60411,1.522496,9.100111,1.60165956
2014-04-21,74,1.379426,1.478355,1.22034,8.267413,0.821417,1.609384,1.519645,9.117021,1.60013416
2012-03-14,75,1.303066,1.246446,1.211054,7.558473,0.830525,1.608521,1.29203,8.893799,1.51155656
2016-01-23,76,1.079736,1.541834,1.095467,9.440022,0.756808,1.663407,1.527315,9.271721,1.25249376
2015-02-19,77,1.136566,1.458435,1.07685,8.610609,0.737278,1.511649,1.418433,9.560938,1.31841656
2015-02-18,78,1.140313,1.459384,1.071915,8.58653,0.738462,1.510804,1.419273,9.531354,1.32276308
2015-02-15,79,1.1397,1.46705,1.062217,8.641577,0.739606,1.524865,1.419195,9.589142,1.322052
2015-02-14,80,1.138846,1.466573,1.061278,8.65098,0.739533,1.527221,1.41866,9.595163,1.32106136
2015-02-17,81,1.14117,1.460019,1.067701,8.587746,0.743374,1.51342,1.415112,9.515887,1.3237572
2015-02-16,82,1.135007,1.461136,1.058079,8.599125,0.738934,1.515033,1.414694,9.557738,1.31660812
2015-02-11,83,1.133609,1.467473,1.051154,8.654182,0.743842,1.537614,1.427763,9.490498,1.31498644
2015-02-10,84,1.131635,1.456285,1.048478,8.584892,0.74182,1.529113,1.422556,9.437134,1.3126966
2015-02-13,85,1.138846,1.466573,1.061204,8.663403,0.739533,1.527221,1.420433,9.595414,1.32106136
2015-02-12,86,1.140227,1.474867,1.060425,8.707769,0.741256,1.536677,1.428957,9.606365,1.32266332
2014-07-02,87,1.365661,1.446691,1.213527,8.425563,0.795718,1.557034,1.456692,9.153451,1.58416676
2014-07-04,88,1.359466,1.451751,1.214904,8.414972,0.79227,1.555353,1.448307,9.285511,1.57698056
2014-07-06,89,1.35908,1.452192,1.215782,8.409401,0.792085,1.555137,1.447771,9.302901,1.5765328
2014-07-07,90,1.360659,1.452324,1.215787,8.391023,0.794138,1.556281,1.452796,9.299601,1.57836444
2014-07-08,91,1.361224,1.447781,1.216034,8.424519,0.794574,1.549097,1.452819,9.304366,1.57901984
2014-07-09,92,1.3641,1.449212,1.216123,8.399007,0.795116,1.546293,1.454019,9.277765,1.582356
2015-10-16,93,1.134901,1.561924,1.081784,9.199193,0.73503,1.665002,1.465414,9.340847,1.31648516
2015-10-17,94,1.134901,1.561924,1.082218,9.202554,0.73503,1.665002,1.465273,9.3582,1.31648516
2016-01-08,95,1.092495,1.571342,1.088539,9.710516,0.752457,1.66982,1.546701,9.295882,1.2672942
2016-01-09,96,1.09242,1.571234,1.087267,9.700879,0.752405,1.669705,1.546726,9.286075,1.2672072
2015-05-23,97,1.101228,1.406385,1.037867,8.405609,0.710979,1.506399,1.351204,9.225153,1.27742448
2014-08-09,98,1.34115,1.445734,1.214697,8.370399,0.799483,1.584836,1.470908,9.250193,1.555734
2014-08-08,99,1.341159,1.445794,1.215096,8.374195,0.799489,1.584838,1.47028,9.24871,1.55574444
2014-05-31,100,1.36334,1.464345,1.220958,8.14561,0.8136,1.604698,1.478469,9.111821,1.5814744
2016-05-19,101,1.120286,1.547807,1.103025,9.289864,0.770249,1.658382,1.459678,9.311924,1.29953176
2014-08-01,102,1.342868,1.442041,1.217291,8.418102,0.798287,1.577781,1.465615,9.218897,1.55772688
2014-08-02,103,1.342855,1.442013,1.217003,8.420845,0.798244,1.577785,1.466049,9.216687,1.5577118
2014-08-05,104,1.337188,1.437182,1.215278,8.396105,0.792093,1.582333,1.464637,9.205209,1.55113808
2014-08-04,105,1.342143,1.438211,1.216705,8.409882,0.795986,1.574314,1.464194,9.236118,1.55688588
2014-08-07,106,1.336021,1.441463,1.214545,8.353498,0.793696,1.57833,1.460886,9.225838,1.54978436
2014-08-06,107,1.338178,1.43147,1.214832,8.385073,0.79405,1.579373,1.46145,9.222744,1.55228648
2016-05-17,109,1.131085,1.547427,1.106786,9.267399,0.783685,1.664101,1.461444,9.33695,1.3120586
